profile_slug,asset_role,source_path,public_path,prompt_version,generated_at_utc,model,synthetic_confirmed,human_review,legal_review,sha256,notes
valeria,master,assets/synthetic-profiles/valeria/master/valeria-master-v01.png,,pv-master-v1,2026-08-28T02:31:16Z,OpenAI built-in image_gen,YES,PENDING,PENDING,A1A9CE96C7ED3AACE4A55EF31503073D092C5CF8C4593D8BF427FD1ADD8E6FAD,"AI visual preflight PASS; user identity approval pending"
sofia,master,assets/synthetic-profiles/sofia/master/sofia-master-v01.jpg,,pv-prompts-v1,2026-08-28T01:58:19Z,Gemini Nano Banana 2 user-supplied,YES,PENDING,PENDING,2FAEA13AFEEFA34FF3A5667791CF92E6BCC6744166650B5B3467B710D6EF693B,"Identity confirmed by user; final human and legal review pending"
lucia,master,assets/synthetic-profiles/lucia/master/lucia-master-v01.png,,pv-master-v1,2026-08-28T02:32:05Z,OpenAI built-in image_gen,YES,PENDING,PENDING,23AC382DFFAF4891B0D88BC73CE4A336B433D19268B98BED8ED60B50F58C4960,"AI visual preflight PASS; user identity approval pending"
julia,master,assets/synthetic-profiles/julia/master/julia-master-v01.png,,pv-master-v1,2026-08-28T02:33:02Z,OpenAI built-in image_gen,YES,PENDING,PENDING,EC27C2568A90973F9D4A7E1B23BEF8C1876A2E754C42FD793E6B54F41E2B8948,"AI visual preflight PASS; user identity approval pending"
mia,master,assets/synthetic-profiles/mia/master/mia-master-v01.png,,pv-master-v1,2026-08-28T02:33:55Z,OpenAI built-in image_gen,YES,PENDING,PENDING,95C43FE48CED390C689E897AB0EA09D501F35664569875131D2DAE12326FAA28,"AI visual preflight PASS; user identity approval pending"
alicia,master,assets/synthetic-profiles/alicia/master/alicia-master-v01.jpg,,pv-prompts-v1,2026-08-28T01:56:34Z,Gemini Nano Banana 2 user-supplied,YES,PENDING,PENDING,D7F4802F501D629F1E4971D643BCE0D6B7F5BD1F04FE6A328CA0B1055359CEDF,"AI visual preflight PASS; final human and legal review pending"
valeria,cover,assets/synthetic-profiles/valeria/cover/valeria-cover-v01.png,,pv-derivatives-v1,2026-08-28T02:44:50Z,OpenAI built-in image_gen,YES,PENDING,PENDING,AB3D6B084014C807BF65E33418E8FF8DC8CAAD68A6AD413C8B8929866DA63BFC,"AI visual preflight PASS; final human and legal review pending"
valeria,gallery-01,assets/synthetic-profiles/valeria/gallery/valeria-gallery-01-v01.png,,pv-derivatives-v1,2026-08-28T02:52:18Z,OpenAI built-in image_gen,YES,PENDING,PENDING,05196D615A47E0EEBE85046B001CBA47590DBE73873C4D940371EE426CBADDBC,"AI visual preflight PASS; final human and legal review pending"
valeria,gallery-02,assets/synthetic-profiles/valeria/gallery/valeria-gallery-02-v01.png,,pv-derivatives-v1,2026-08-28T02:59:03Z,OpenAI built-in image_gen,YES,PENDING,PENDING,0AA237C7B01FA56E0FD791BB6258966BE17E1DD1C71BDF69B2ED9FF37480AD20,"AI visual preflight PASS; final human and legal review pending"
valeria,gallery-03,assets/synthetic-profiles/valeria/gallery/valeria-gallery-03-v01.png,,pv-derivatives-v1,2026-08-28T03:08:25Z,OpenAI built-in image_gen,YES,PENDING,PENDING,9AC48DDBDAE576E7A5921CEECEA8B9B644B85ABEBE699378E558101A9093218C,"AI visual preflight PASS; final human and legal review pending"
