key,group,master_path,selected_path,public_path,derivative_generated_at_utc,generator,source_sha256,selected_sha256,source_dimensions,selected_dimensions,synthetic_confirmed,technical_review,human_review,legal_review
company-private-lounge,company,assets/synthetic-services/master/company-private-lounge-v01.png,assets/synthetic-services/selected/company-private-lounge-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,9DEB6A66E399A0F548D779D9545F14A9ACD6B7D26E5C6E585D26A5322B4FAA85,8A351851E18628A91EA9B54382C84AEA08CFD8BB0F44099383A272D1B78BE87E,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
settings-private-celebration,settings,assets/synthetic-services/master/settings-private-celebration-v01.png,assets/synthetic-services/selected/settings-private-celebration-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,9321C1C4DA9FE0FFE39291DB3B669B5A136262F86531103DD2904643490672E5,67DD53701E83755F298B780A75D35DAB08514B042DE6A171FFDFB2FC8FFC9F9F,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
settings-hotel-arrival,settings,assets/synthetic-services/master/settings-hotel-arrival-v02.png,assets/synthetic-services/selected/settings-hotel-arrival-v02.webp,,2026-08-30T06:44:29Z,OpenAI ImageGen runtime,387C081E169823A05651D8C968A85620359D783C3B53B144CCB5E143DDFC3CD7,9FD3ED7E625A9DEE2FF887B51ED2AAD9D210D2CC725658EAD09A0B4CB253C08B,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
settings-home-arrival,settings,assets/synthetic-services/master/settings-home-arrival-v01.png,assets/synthetic-services/selected/settings-home-arrival-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,3FB8DC68C765918E23F9FDD7A7E60594D08EF9099C7B082CACC7BA6D22FF4D03,8D6BD8F161C7346FCC117A6DD7B2E8EFC031377DB3FFCA61185F69BDEEA25F43,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
couples-two-settings,couples,assets/synthetic-services/master/couples-two-settings-v01.png,assets/synthetic-services/selected/couples-two-settings-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,4F533DB85392CBD15F75B3FF3C8EF20B49FC3E07D6D22208CE1669C0C2B82058,645F42A87EDF8FDBE3DEBB7BCEEFA075A8064FE9719CE1DE4D8E866E18E2D1A5,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
couples-private-gathering,couples,assets/synthetic-services/master/couples-private-gathering-v01.png,assets/synthetic-services/selected/couples-private-gathering-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,86DB70067E6E011A8B2D41D17BC5423E347D00BA9DEBC320CD8F0A69ED730269,B9E5C7BF2610615FC765F839AB7BA72AA5AFEEC10B2B0852A8B2A045FF41F160,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
wellbeing-spa-ritual,wellbeing,assets/synthetic-services/master/wellbeing-spa-ritual-v01.png,assets/synthetic-services/selected/wellbeing-spa-ritual-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,47D567E19F5B6BEFE588F362BD48BF0113DACF2EC7A858020536BAE0BC31C643,9AB77A73F700AA0D32A1B09D02B8B6976A9A0CD86DD0115403D0E997CA3FA0A4,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
wellbeing-water-ritual,wellbeing,assets/synthetic-services/master/wellbeing-water-ritual-v01.png,assets/synthetic-services/selected/wellbeing-water-ritual-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,9549537E9564B6266DE5BB25E1178307C977F73A8224A2D25B9C7FC601E1DF39,7E5DF0FE33D2E7534C6DDF72008C3040676D4DC1EA286989A1931B49F4988C83,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-theatre-mask,roleplay,assets/synthetic-services/master/roleplay-theatre-mask-v01.png,assets/synthetic-services/selected/roleplay-theatre-mask-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,EE47A98D925C92967DB2C875A4C03EDA881D962202BCE12B171DF4D38271DF2D,808AED12BEE873A58F03C4ED0D558FA1361E0B52B8260D11F82573E43490F932,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-consent-accessories,roleplay,assets/synthetic-services/master/roleplay-consent-accessories-v01.png,assets/synthetic-services/selected/roleplay-consent-accessories-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,27EF3AFFC877342B06AE216C2C95BD5D523095E78EF21B06F3165029C35424DD,053340B51D49E32F28133CCDBA5B976C47EDF4A9DC17A0CE364E386F949A7278,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
