req_id,normalized_requirement,type,priority,source,acceptance_criterion,dependency,owner,implementation,test,evidence,state
"REQ-001","One site with scalable URLs for Madrid Barcelona and local coverage","functional/SEO","P0/MUST","Brief pp.1-3; meeting 16:57 pp.18-19","A single domain exposes maintainable hubs and local templates with no cloned mass pages","coverage and content validation","Codex/Luis","single app now exposes home Madrid Barcelona profiles detail and contact; additional local coverage remains gated","route crawl plus metadata audit","local build and HTTP smoke recorded in QA_EVIDENCE.md","PARTIAL"
"REQ-002","Service only at homes and hotels; never advertise a public venue","content/legal","P0/MUST","Brief p.1","All public copy and schema avoid a physical customer venue","approved service description","Luis","present in existing copy","content grep and page review","existing routes","PARTIAL"
"REQ-003","Provide home, geographic hubs, profiles, contact/reservation and legal information","functional","P0/MUST","Brief pp.1-3","All required route families exist and navigate correctly","content/legal","Codex/Luis","home city hubs profiles safe detail contact and four legal route families integrated behind release gates; approved legal/content absent","route crawl and keyboard navigation","production holding smoke plus draft UI Chromium evidence in QA_EVIDENCE.md","PARTIAL"
"REQ-004","Publish only real coverage; prioritize named areas and avoid 179 cloned pages","SEO/content","P0/MUST","Brief pp.2-3","Only approved coverage is public and each page has distinct useful content","coverage approval and keyword research","Luis/SEO","template pending","content uniqueness and route audit","pending","BLOCKED"
"REQ-005","Each local landing contains local proposition, service, coverage, applicable profiles, FAQ, nearby links and CTA","functional/SEO","P1/MUST","Brief pp.3-4","Each published local route satisfies all required sections","profile and coverage data","Codex","partial city template","component and route tests","pending","PARTIAL"
"REQ-006","Implement technical SEO including unique metadata, headings, sitemap, robots, canonical, breadcrumbs, schema, modern images and internal links","SEO/quality","P0/MUST","Brief p.4","Automated audit finds unique metadata and valid technical files on every public route","final domain and route set","Codex","metadata sitemap robots canonical and JSON-LD connect to the aggregate release gate; blocked production metadata is neutral noindex and sitemap empty; breadcrumbs and final licensed media remain","unit tests plus production HTTP smoke and future crawl","115 tests and fail-closed production smoke recorded in QA_EVIDENCE.md","PARTIAL"
"REQ-007","Prioritize local SEO by evidence and keyword research","SEO","P1/MUST","Brief p.2","Priority matrix records evidence and no ranking is guaranteed","research and real coverage","SEO/Luis","reference and official SEO constraints documented without unsupported volume data; coverage demand source and priority matrix remain","research review","REFERENCE_RESEARCH.md","BLOCKED"
"REQ-008","CMS without code supports create edit duplicate archive delete statuses availability preview roles and audit","CMS/security","P0/MUST","Brief p.5; Puntos p.1","Admin/editor permissions and lifecycle operations pass tests; hidden/archived records are not public","production persistence/auth decision","Codex/Luis","development-only loopback workbench implements server-side admin/editor roles, durable JSON persistence, create/edit/duplicate/archive/restore, availability, ordered media, optimistic revisions, replay protection, approval evidence and audit; editor responses suppress internal evidence and storage references; no production IdP/DB or shared deployment","unit tests plus local browser E2E and future staging UAT","115 tests; Chromium local workbench persistence/create/audit evidence in QA_EVIDENCE.md","PARTIAL"
"REQ-009","Manage ordered photos and videos from desktop/mobile with automatic image optimization","CMS/media","P0/MUST","Brief p.5; Puntos p.1","Upload replace delete reorder and optimization pass with documented limits","object storage/CDN decision and licensed media","Codex/Luis","local UI and atomic media store accept validated JPEG/PNG/WebP with opaque names, rights reference, hashes, quota, bounded metadata, attach/detach, reorder, archive and restore; video, replace, optimization, mobile-device and object-storage flows remain","unit tests plus local browser E2E and future device/format/performance tests","115 tests include media integrity/lifecycle; local browser UI exercised without real media","PARTIAL"
"REQ-010","Profile schema includes identity copy measurements language services media availability and coverage","data","P1/MUST","Brief p.5; meeting 16:57 p.26","Schema and validation support all fields without limiting record count","field definitions/content","Codex/Luis","typed profile media approval and separate verification-evidence schema with strengthened runtime validation implemented","schema validation","pnpm run test 115/115","VERIFIED"
"REQ-011","Eight initial profiles are content load not architecture limit","scalability","P1/MUST","Puntos p.1","More than eight profiles work without redesign or hardcoded slots","profile data","Codex","array-based model and route generation plus public pagination implemented without slot limit","synthetic test with nine records","pnpm run test 115/115","VERIFIED"
"REQ-012","No online payment/booking now; keep integration seam and prioritize Telegram plus WhatsApp phone and form","functional","P0/MUST","Brief p.4; Puntos p.1; meeting 16:57 pp.21-22","CTAs work with approved destinations; no checkout is exposed; provider seam documented","real channel URLs","Luis/Codex","contact UI has no POST or checkout; unsafe schemes are rejected and production visibility plus aggregate release contact and privacy gates apply","link and form E2E","115 tests plus adversarial production smoke; real destinations pending","BLOCKED"
"REQ-013","Deliver full admin access, code/repository and basic operating guide","handoff","P0/MUST","Puntos pp.1-2","Recipient can reproduce, operate and recover using documentation","hosting/admin choice","Codex/Luis","private checkpoint plus reproducible README/runbook/checklist, local CMS launcher, integrity-checked backup/restore, local publication candidate and recurrent stage ZIP procedure exist; production admin access remains pending","clean-room reproduction","OPERATIONS_RUNBOOK.md; STAGE_ARCHIVE_GUIDE.md; 115-test validate; browser workbench evidence; production handoff pending","PARTIAL"
"REQ-014","Produce architecture, URL map, SEO classification, research, wireframes, mobile navigation, linking and measurement specification","planning/design","P1/MUST","Brief p.5","Each artifact exists and is linked to implementation decisions","visual/coverage decisions","Codex/Luis","architecture URL map SEO classification research measurement and UE/Spain applicability documented; responsive navigation and synthetic visual harness integrated; keyword evidence and approved definitive wireframe remain","artifact review","ARCHITECTURE.md; REFERENCE_RESEARCH.md; MEASUREMENT_SPEC.md; compliance/ue-es/audit-report.md; preview QA","PARTIAL"
"REQ-015","Premium discreet professional brand with black/charcoal base, original apple symbol, premium imagery and polished mobile layout","design","P0/MUST","Brief pp.1,4 plus meeting 16:57 pp.24-25","Approved design is reproduced without copied logo/assets and passes design QA","visual selection and asset rights","Luis/Codex","existing burgundy concept conflicts with mockups","same-viewport design QA","pending","BLOCKED"
"REQ-016","Legal information, age control and clear service explanation","legal/privacy","P0/MUST","Brief p.1; meeting 16:57 pp.24-25","Original approved legal content and an accessible age gate exist; no copied third-party text","legal owner/content and consent policy","Luis/Legal/Codex","intake gates and UE/Spain applicability audit documented; exact activity and advertising require Spanish counsel; approved texts and accessible age control absent","legal review and age-gate E2E","LEGAL_INPUTS_REQUIRED.md; DECISIONS_REQUIRED.md; compliance/ue-es/audit-report.md","BLOCKED"
"REQ-017","Separate initial SEO setup from recurring SEO and avoid ranking guarantees","governance/SEO","P0/MUST","Meeting 16:57 pp.14-16","Documentation and public/commercial copy contain no ranking SLA","commercial decision","Luis/SEO","documented in control","document review","PROJECT_CONTROL.md","PARTIAL"
